iter	RMSE
0	16571.71505
1	16430.80254
2	16291.49642
3	16154.14193
4	16017.18062
5	15882.83934
6	15749.65744
7	15618.61614
8	15487.66157
9	15358.63631
10	15231.03215
11	15103.48474
12	14979.04244
13	14855.99619
14	14734.32472
15	14613.63336
16	14494.47201
17	14377.26434
18	14261.45763
19	14147.10609
20	14032.68072
21	13919.64111
22	13808.25529
23	13698.8374
24	13590.60954
25	13483.53566
26	13376.38202
27	13271.84251
28	13168.2232
29	13065.42804
30	12964.72316
31	12865.44616
32	12768.2389
33	12669.81411
34	12571.62811
35	12475.37041
36	12381.51643
37	12288.87332
38	12196.7833
39	12105.42092
40	12015.38549
41	11925.82389
42	11837.89435
43	11750.53213
44	11665.48378
45	11581.1303
46	11496.78627
47	11415.00649
48	11331.39052
49	11249.78759
50	11169.81977
51	11091.56349
52	11013.85254
53	10937.03366
54	10860.91873
55	10784.71132
56	10709.64743
57	10636.65049
58	10563.75167
59	10491.78081
60	10420.27153
61	10349.78352
62	10281.33675
63	10211.51976
64	10143.85784
65	10077.21492
66	10011.53688
67	9945.663071
68	9882.033405
69	9818.580478
70	9755.863179
71	9694.365608
72	9633.916474
73	9574.586011
74	9515.527212
75	9457.190144
76	9400.125373
77	9341.451747
78	9284.371821
79	9228.657679
80	9172.969564
81	9118.810022
82	9065.506076
83	9012.466966
84	8959.723202
85	8908.066645
86	8857.184527
87	8805.993158
88	8756.524655
89	8706.76479
90	8658.615211
91	8611.368162
92	8564.133426
93	8517.665735
94	8471.870061
95	8425.995228
96	8381.563562
97	8337.323484
98	8293.674415
99	8251.323589
100	8209.097252
101	8165.73931
102	8125.75068
103	8085.103982
104	8045.161605
105	8005.081613
106	7966.355546
107	7927.734063
108	7887.837573
109	7849.756575
110	7813.168584
111	7776.54323
112	7741.135734
113	7702.93792
114	7668.281275
115	7633.944416
116	7601.243742
117	7567.754548
118	7535.537812
119	7502.792565
120	7470.996776
121	7437.708208
122	7402.69307
123	7370.574373
124	7340.499216
125	7309.916289
126	7279.991256
127	7250.431297
128	7221.979254
129	7191.570404
130	7163.038759
131	7134.461848
132	7107.544073
133	7080.59414
134	7054.050529
135	7027.995412
136	7002.218815
137	6977.669476
138	6952.554907
139	6926.045333
140	6899.693676
141	6876.421698
142	6852.169126
143	6827.016142
144	6803.67511
145	6779.487715
146	6757.168343
147	6734.148122
148	6711.34025
149	6689.660037
150	6667.93921
151	6646.256221
152	6623.375706
153	6602.999019
154	6580.51913
155	6560.027315
156	6540.749745
157	6521.614203
158	6502.125416
159	6480.824479
160	6462.030734
161	6443.678008
162	6424.361731
163	6403.6719
164	6383.291722
165	6365.688347
166	6347.639294
167	6331.350771
168	6314.23825
169	6296.00843
170	6277.011551
171	6258.209614
172	6241.150147
173	6225.372042
174	6207.836558
175	6191.397984
176	6176.528367
177	6158.80594
178	6144.246867
179	6128.480684
180	6114.574954
181	6100.20531
182	6083.858914
183	6068.987511
184	6055.312603
185	6040.72165
186	6025.897034
187	6012.692844
188	6000.420453
189	5985.073401
190	5971.896928
191	5959.601736
192	5946.743394
193	5932.635588
194	5920.797818
195	5909.426185
196	5896.517614
197	5884.828469
198	5871.576796
199	5857.730402
200	5844.270038
201	5832.436922
202	5822.071138
203	5810.658209
204	5798.732484
205	5787.25577
206	5774.715707
207	5762.618327
208	5752.407128
209	5742.492741
210	5733.707143
211	5723.852173
212	5713.439193
213	5703.167129
214	5693.46213
215	5680.802267
216	5670.96384
217	5661.239672
218	5650.891344
219	5641.349693
220	5632.235262
221	5623.837245
222	5616.318693
223	5607.171303
224	5597.479764
225	5586.770228
226	5576.316165
227	5567.743012
228	5556.333607
229	5547.005885
230	5538.475091
231	5529.620048
232	5521.90565
233	5512.409619
234	5504.785854
235	5496.723461
236	5489.83071
237	5482.837789
238	5476.432751
239	5468.124802
240	5461.01908
241	5451.713802
242	5445.193586
243	5438.761999
244	5430.501116
245	5423.274222
246	5415.784424
247	5409.151347
248	5402.050887
249	5395.659193
250	5387.440967
251	5379.666673
252	5373.87866
253	5366.878642
254	5361.353676
255	5354.250336
256	5347.282497
257	5338.499002
258	5330.474653
259	5324.312267
260	5317.445043
261	5309.924115
262	5302.768747
263	5296.463629
264	5288.932648
265	5284.3783
266	5277.955258
267	5271.81882
268	5264.935478
269	5258.490365
270	5252.523983
271	5247.705792
272	5242.683086
273	5236.923074
274	5231.611537
275	5226.148212
276	5218.620898
277	5212.184189
278	5207.167461
279	5200.289343
280	5194.107116
281	5189.212913
282	5185.037849
283	5178.92613
284	5174.000196
285	5168.675225
286	5162.364162
287	5158.070203
288	5152.96789
289	5148.210572
290	5144.183221
291	5138.418472
292	5134.59349
293	5130.26421
294	5125.529379
295	5120.388016
296	5116.28974
297	5110.429405
298	5106.478384
299	5101.386184
300	5097.424532
301	5091.502313
302	5085.579426
303	5080.799224
304	5077.305657
305	5072.056078
306	5068.170653
307	5062.960545
308	5058.651811
309	5053.570604
310	5046.655583
311	5043.440393
312	5039.28049
313	5035.875072
314	5031.204389
315	5025.947416
316	5020.122104
317	5014.747793
318	5009.834529
319	5004.088559
320	4998.446623
321	4995.234397
322	4990.415564
323	4986.303056
324	4981.824137
