iter	Passed	Remaining
0	114	229263
1	208	208381
2	297	197862
3	386	192776
4	468	187053
5	550	182789
6	639	182097
7	726	180895
8	810	179203
9	901	179412
10	988	178729
11	1071	177566
12	1155	176571
13	1234	175134
14	1315	174043
15	1399	173594
16	1480	172748
17	1560	171827
18	1652	172326
19	1739	172212
20	1821	171698
21	1907	171511
22	1986	170721
23	2066	170167
24	2158	170492
25	2256	171288
26	2340	171043
27	2435	171506
28	2529	171927
29	2610	171417
30	2700	171527
31	2805	172524
32	2897	172678
33	2980	172352
34	3059	171792
35	3150	171860
36	3244	172125
37	3330	171958
38	3414	171698
39	3495	171257
40	3579	171049
41	3680	171593
42	3782	172128
43	3864	171778
44	3948	171543
45	4026	171049
46	4108	170727
47	4209	171179
48	4302	171302
49	4389	171172
50	4472	170929
51	4559	170790
52	4642	170533
53	4740	170846
54	4848	171453
55	4941	171532
56	5023	171222
57	5115	171295
58	5197	170996
59	5280	170729
60	5377	170923
61	5491	171643
62	5579	171545
63	5671	171555
64	5758	171440
65	5843	171238
66	5924	170933
67	6009	170737
68	6112	171066
69	6205	171095
70	6284	170756
71	6369	170553
72	6451	170300
73	6529	169949
74	6613	169747
75	6706	169775
76	6795	169718
77	6897	169963
78	6982	169801
79	7067	169608
80	7148	169347
81	7230	169117
82	7314	168934
83	7399	168790
84	7486	168672
85	7568	168435
86	7654	168305
87	7748	168358
88	7839	168332
89	7924	168179
90	8010	168038
91	8090	167795
92	8173	167602
93	8257	167435
94	8340	167248
95	8426	167130
96	8513	167029
97	8596	166840
98	8688	166840
99	8779	166805
100	8862	166640
101	8945	166451
102	9030	166327
103	9112	166121
104	9194	165946
105	9279	165806
106	9360	165609
107	9442	165412
108	9534	165414
109	9618	165257
110	9707	165194
111	9788	164997
112	9866	164758
113	9952	164648
114	10033	164458
115	10117	164319
116	10202	164191
117	10282	163997
118	10361	163784
119	10446	163669
120	10537	163631
121	10637	163741
122	10729	163739
123	10810	163545
124	10897	163464
125	10992	163492
126	11081	163432
127	11163	163267
128	11245	163104
129	11341	163144
130	11428	163053
131	11508	162865
132	11593	162742
133	11700	162928
134	11788	162862
135	11869	162684
136	11952	162541
137	12034	162381
138	12116	162225
139	12207	162184
140	12295	162110
141	12379	161980
142	12482	162100
143	12594	162323
144	12688	162327
145	12796	162503
146	12891	162498
147	12974	162357
148	13058	162227
149	13153	162227
150	13242	162150
151	13320	161951
152	13403	161804
153	13502	161860
154	13610	162012
155	13707	162033
